id,seeker_post,response_post
257,Okay.,"So, you're not too happy to be here. This is the last thing that you want to be doing this afternoon."
258,"Yeah. Yeah, well, the only reason I'm here is 'cause my wife thinks I've got a problem with smoking. I've been smoking all my life and, uh, six months ago, uh, she thought, she got into this health kick, right? And now everyone who smokes is evil. And, uh, so that's why I'm here just to please her, get her off my back and—","You've taken time off you, it's costing you time and money being here."
259,"Yeah. That's an understatement. I mean, I'm supposed to be at work right now, too, right? So-","So, let me ask you this, Bob, what are some of your wife's concerns about your smoking?"
260,"Yeah, yeah. I'm only here because my wife forced me to come, you know. Like this has come to a head six months of just nagging me, relentless every day, because she was able to quit smoking and now I have to quit.","Wow, that she's been showing you and making you read."
261,"Well, she's concerned about my health and she cuts out all these articles from the paper about second-hand smoke and—","So, you're pretty angry about it. It's pretty outraging that you're forced to change your whole life because of a decision she made six months ago."
262,"Yeah, I've got to read this. That's my reading assignment for breakfast and I want to go out and have-- We used to go out and have a cigarette together at the table. Now I have to go outside in this weather, you know, what's that about? And she used to smoke more than me and now she's like holier than now?","So, from your perspective, do you see any consequences to your smoking?"
263,"And she's got my kids on this against me, you know, my son and my daughter, they're, it's like, they're ganging up on me, you know what I mean?","So, let me make sure I understand kind of the whole scenario 'cause there's a lot of pieces to it. Your wife is on your case and your kids are ganging up too. So, you're sort of isolated, you're put in a corner and you're being told this is something you have to do, you have no choice in the matter."
264,"Well, the big one of course is how it's affecting my wife and the family. Like my dad's 85, he still smokes. I mean, yeah, you know, sometimes I thought of quitting, but I mean, I don't know. I don't know if I can-- I don't know if I can quit.","You have a few concerns about your health, but that's not really the driving force. It sounds like it's most of all that it would be nice if things just went back to the way they were before she quit smoking and that all of this stuff wasn't something that you had to deal with anymore. Does that pretty much sum up--?"
265,Yeah.,I get the feeling that your relationship is really important to you. That you would do anything.
266,"Yeah. Yeah. I-I'm just, I don't want to lose her or my family over smoking.","So, it strikes me that the way that we're talking about it, it's like it's all or nothing. Either you keep smoking the way you are, things continue to go downhill and get worse, your wife gets more and more on your case, or you put your cigarettes down starting the moment you walk in the door tonight and never pick them up again. It's almost like one or the other. It strikes me that as well there might be some middle ground here that it took you a long time to learn how to be a smoker and maybe it's going to take some time to learn how to stop smoking."
267,"Well, yeah, I mean, we've been married over 25 years, and uh, we've never had any major problems. Like this is-- this is the first problem. I don't even really see it as a problem cause we used to both smoke and I was trying to accommodate them by smoking outside, but it's feeling like we're going like this and I'm just concerned, like if this keeps going, like.",There are some medications and some different approaches that we can use that aren't so abrupt. Recognizing that it-it's going to take some time and practice to get to where you might want to be.
268,"So, I can actually do it that way like gradual taber?","If you wanted to bring your wife along, I'd be more than happy to talk with both of you."
269,"I wish my wife could have come today cause she's feels after like, just stop like right away. So do you think she could come with me at a future appointment or something and she could hear that message?",Okay. That sounds good.
270,"Okay. I'll have to talk to her as well because their schedule changes from week to week, she works shifts, so I'll call you back tomorrow and we'll set something up.",Thanks for coming in.
271,All right.,"-the rise in your blood pressure is concerning to me, so I'd like to gather a bit more information about your lifestyle."
272,Sure.,Okay. Have you had any major stressful events recently or any change in your work situation?
273,Okay.,"Yeah, that's certainly true. I'd also like to ask about some health habits that can contribute to high blood pressure."
274,"Not really, I haven't been stressed. Uh, I've been working steady, you know, these days, I'm glad to have a job, I really am happy that I'm working, so.","Okay, do you smoke at all?"
275,Okay.,"Okay, great. Um, do you drink alcohol, including beer or wine?"
276,"I don't smoke. I smoked, you know, as a young adult, quit 20 years ago. I went cold turkey. I was proud of that, haven't even thought about smoking.","Okay. Well, I'm concerned about the amount that you're drinking currently. It sounds like you're having about 15 to 20 drinks per week, and that's definitely more than what we would recommend and could certainly be contributing to your high blood pressure."
277,"Uh, I do drink beer, I drink, you know, two to three pints on weekdays, sometimes on weekends, maybe four or five.","Well, according to your chart, your blood pressure has gone up since July, and you said that you've been drinking more recently, so do you see the connection there?"
278,"Well, I-- you know, my pressure has been high for years and, um, you know.","Alcohol can have some dangerous effects on your body. So along with contributing to high blood pressure, it can have a big impact on your liver, which you need to keep in mind. So your liver has several different roles in your body. First, it helps process excess fatty acids before they get distributed to the rest of your body. It also helps process alcohol and other drugs. So when you have an excess of alcohol, your liver can't work as efficiently and the fatty acids build up, and over time, your liver won't be able to work as well."
279,Maybe a little bit.,"Okay. And how about the use of other drugs like cocaine, heroin, marijuana?"
280,Okay.,Okay. Have you ever used any prescription medications that weren't prescribed for you or in a way that wasn't prescribed?
281,"I don't use heroin or cocaine. I've never even thought about using the hard drugs. Back in school, 20 years or so ago, I smoked reefer, you know. Once I got out of school, I haven't used that at all.","Okay, excellent. Well, it sounds to me like the increase in your drinking could certainly be contributing to your high blood pressure. I think decreasing the number of drinks that you have when you go out and maybe decreasing the number of times that you go to the bar each week could be the best thing that you can do for your health."
